# Urdu word -> IPA, as espeak-ng says it.
# Written by tools/urdu/lexbuild.py; do not edit by hand.
# 101580 words, of which 7504 had to be asked one at a time.
؁	sˈan
امبان	ˈambaːn
امباڑہ	ˈambaːr.a
امبر	ˈambər
امبوا	ˈambʋaː
امبوتی	ˈamboːtˌiː
امبولنس	ˈamboːlˌəns
امبونس	ambˈoːns
امبھوری	ˈambʰoːrˌiː
امبی	ˈambi
امبیاں	ˈambjãː
امبیل	ˈambil
امت	ˈamət
امتتاح	ˌɪmtɪtˈaːh
امتتاحی	ˌɪmtɪtˈaːhi
امتتاحیت	ˌɪmtɪtˌaːhiˈat
امتثال	ˌɪmtɪsˈaːl
امتثالا	ˌɪmtɪsˈaːlaː
امتحان	ˌɪmtɪhˈaːn
امتحانا	ˌɪmtɪhˈaːnaː
امتحانات	ˌɪmtɪhˈaːnaːt
امتحانوں	ˌɪmtɪhˈaːnõː
امتحانی	ˌɪmtɪhˈaːni
امتحاں	ˈɪmtɪhˌãː
امتداد	ˌɪmtɪdˈaːd
امتدادات	ˌɪmtɪdˌaːdˈaːt
امتدادی	ˌɪmtɪdˈaːdi
امتدادیت	ˌɪmtɪdˌaːdiˈat
امتر	ˈamətˌər
امتزاج	ˌɪmtɪzˈaːɟ
امتزاجی	ˌɪmtɪzˈaːɟi
امتساک	ˌɪmtɪsˈaːk
امتساکات	ˌɪmtɪsˌaːkˈaːt
امتساکی	ˌɪmtɪsˈaːki
امتساکیت	ˌɪmtɪsˌaːkiˈat
امتصاص	ˌɪmtɪʂˈaːʂ
امتصاصات	ˌɪmtɪʂˌaːʂˈaːt
امتصاصی	ˌɪmtɪʂˈaːʂi
امتصاصیت	ˌɪmtɪʂˌaːʂiˈat
امتصامی	ˌɪmtɪʂˈaːmi
امتعہ	ˌamtˈaːa
امتلا	ˈɪmtɪlˌaː
امتناع	ˈɪmtɪnˌaː
امتناعی	ˌɪmtɪnaːˈaːi
امتنان	ˌɪmtɪnˈaːn
امتوں	ˈamtˌõː
امتہ	ˈamtˌa
امتی	ˈʊmti
امتیاز	ɪmtjˈaːz
امتیازات	ˌɪmtjaːzˈaːt
امتیازوں	ɪmtjˈaːzõː
امتیازی	ɪmtjˈaːzi
امتیوں	ˈamtˌiõː
امتیں	ˈamtˌẽː
امثاج	ˌamsˈaːɟ
امثاسیند	ˌamsaːsˈiːnd
امثال	ˌamsˈaːl
امثالات	ˌamsˌaːlˈaːt
امثلہ	ˈaməsˌəlˌa
امجاد	ˌamɟˈaːd
امجادی	ˌamɟˈaːdi
امجد	ˈamɟad
امحا	ˈamhˌaː
امخاض	ˌamxˈaːz
امدات	ˌamədˈaːt
امداد	ˌɪmdˈaːd
امدادکرنا	ˌɪmdˈaːdkərnaː
امدادی	ˌɪmdˈaːdi
امدخا	ˈamədxaː
امدوں	ˈamdˌõː
امر	ˈamər
امرا	ˈamrˌaː
امراء	ˈamrˌaː
امرائی	ˌamrˈaːi
امرائیت	ˌamrˌaːiˈat
امرار	ˌamrˈaːr
امراض	ˌamrˈaːz
امراضیات	ˌamrˌaːziˈaːt
امراو	ˌamrˈaːoː
امربالمعروف	ˌamərbaːlmˈaːruːf
امربیل	ˌamərbˈiːl
امرت	ˈamrɪt
امرتا	ˈamərtaː
امرتسر	ˈamərˌətəsˌər
امرتسری	ˈamərˌətəsri
امرتی	ˈamərti
امرتییاں	ˌamərˈʌtjjãː
امرجل	ˈamərˌəɟəl
امرحہ	ˈamərˌəhəˌa
امرد	amˈʌrd
امردوں	amˈʌrdõː
امردھج	amˈʌrdʰəɟ
امردی	amˈʌrdi
امردیو	ˌamrdˈeːoː
امرس	ˈamərˌəs
امرش	ˈamərˌəʃ
امرض	ˈamərˌəz
امرضات	ˌamərˌəzˈaːt
امرضہ	ˈamərˌəzˌa
امرلوک	ˌamərlˈoːk
امرنہی	ˈamərˌənhˌiː
امرو	ˈamrˌoː
امروتی	ˌamrˈoːti
امروتیاں	ˌamrˈoːtjãː
امرود	ˌamrˈoːd
امروز	ˌamrˈoːz
امروزہ	ˌamrˈoːzˌa
امروزیہ	ˌamroːzˈiːa
امرولا	ˌamrˈoːlaː
امرولہ	ˌamrˈoːlˌa
امروہی	ˌamrˈoːhi
امرپھل	ˈamərˌəpʰəl
امرہ	ˈaməra
امری	ˈamrˌiː
امریاں	amˈʌrjãː
امریت	ˌaməriˈat
امریتا	ˌamrˈiːtaː
امریل	ˌamrˈiːl
امریلی	ˌamrˈiːli
امرین	ˌamrˈiːn
امریکا	ˌamrˈiːkaː
امریکانی	ˌamrikˈaːni
امریکن	ˌamrˈiːkən
امریکہ	ˌamrˈiːkˌa
امریکی	ˌamrˈiːki
امریکیوں	ˌamrˈiːkiˌõː
امزجہ	ˈaməzˌəɟˌa
امس	ˈaməs
امسال	ˌamsˈaːl
امساک	ˌamsˈaːk
امساکی	ˌamsˈaːki
امسلہ	ˈaməsˌəlˌa
امصار	ˌamʂˈaːr
امصاص	ˌamʂˈaːʂ
امضا	ˈamzˌaː
امعا	ˈamaː
امعان	amˈaːn
امعانی	amˈaːni
امعجہ	amˈaːɟˌa
امل	ˈaməl
املا	ˈamlˌaː
املاء	ˈamlˌaː
املائی	ˌamlˈaːi
املاص	ˌamlˈaːʂ
املاصی	ˌamlˈaːʂi
املاق	ˌamlˈaːq
املاک	ˌamlˈaːk
املاکی	ˌamlˈaːki
املتاس	ˌaməltˈaːs
املتاسی	ˌaməltˈaːsi
املداری	ˌaməldˈaːri
املس	ˈaməlˌəs
املق	ˈaməlˌəq
املناس	ˌaməlnˈaːs
املناسی	ˌaməlnˈaːsi
املوک	ˌamlˈoːk
املوکی	ˌamlˈoːki
املوکیت	ˌamlˌoːkiˈat
املہ	ˈaməla
املی	ˈamlˌiː
املیاں	amˈʌljãː
املے	ˈamlˌeː
امم	ˈaməm
امن	ˈamn
امنا	ˈʊmnaː
امنت	ˈamənˌət
امندہ	amˈʌnda
امنڈنا	amˈʌnɖənˌaː
امنگ	ʊmˈanɡ
امنگل	ʊmˈanɡl
امنگوں	ʊmˈanɡõː
امنگی	ʊmˈanɡi
امنگیں	ʊmˈanɡẽː
امنہ	ˈaməna
امنی	ˈʊmni
امنیات	ˌamniˈaːt
امنیاتی	ˌamnjˈaːti
امنیت	ˈamniˌat
امنیتی	ˌamniˈati
امنیتیں	ˌamniˈatẽː
اموا	ˈamʋaː
امواؤ	ˈamʋaːˌoː
امواؤں	ˈamʋaːˌoːn
اموائیاں	ˈamʋaːjˌãː
اموائیں	ˈamʋaːˌẽː
اموات	ˌamoːˈaːt
امواتی	ˈamʋaːtˌiː
امواج	ˈamʋaːɟ
اموال	ˈamʋaːl
اموتی	amˈoːti
اموتیشنز	ˌamoːteːʃˈanz
امور	ʊmˈuːr
امورات	ˌʊmuːrˈaːt
امورت	amˈoːrət
امورتی	ʊmˈuːrti
امورتیں	amˈoːrtˌẽː
امورِ	ˌʊmuːrˈeː
اموری	amˈoːri
امول	amˈoːl
امولا	amˈoːlaː
امولک	amˈoːlək
امولی	amˈoːli
امومت	amˈoːmət
امونی	amˈoːni
امونیا	amˈoːnjaː
امونیائی	amˈoːnjaːˌiː
امونیشن	ˌamoːneːʃˈan
امونیشنر	ˌamoːnˈiːʃənˌər
امونیم	ˌamoːnˈiːm
اموی	ˈamʋi
امویہ	ˈamʋiˌa
امپائر	ˈampaɪr
امپائرز	ampˈaɪrz
امپائرنگ	ˈampaɪrˌɪnɡ
امپائروں	ˈampaɪrˌõː
امپائری	ˈampaɪrˌiː
امپارٹنٹ	ampˈaːrʈənʈ
امپرر	ˈampərˌər
امپررز	ˈampərˌərz
امپرس	ˈampərˌəs
امپریشن	ˈampərˌeːʃan
امپریشنز	ˈampərˌeːʃanz
امپلس	ˈampəlˌəs
امپورٹ	ampˈoːrʈ
امپورٹر	ampˈoːrʈər
امپورٹری	ampˈoːrʈərˌiː
امپیریل	ˈampirˌiːl
امپیریلزم	ˈampirˌiːləzˌəm
امپیما	ˈampimˌaː
امپیکٹ	ampˈeːkʈ
امچور	ˌamcˈoːr
امچی	ˈamcˌiː
امچیاں	amˈʌcjãː
امڈ	ˈaməɖ
امڈنا	ˈaməɖnaː
امڑہ	ˈamər.a
امکا	ˈamkˌaː
امکان	ˌɪmkˈaːn
امکانات	ˌɪmkˈaːnaːt
امکانی	ˌɪmkˈaːni
امکاں	ˈamkˌãː
امکنہ	ˈaməkˌənˌa
امگا	ˈamɡˌaː
امہ	ˈamˌa
امہات	ˌamaˈaːt
امہار	ˌamhˈaːr
امہال	ˌamhˈaːl
امہانی	ˌamhˈaːni
امی	ˈami
امیا	ˈamjaː
امیات	ˌamiˈaːt
امیال	ˈamjaːl
امیاں	ˈamjãː
امیبا	amˈiːbaː
امیبائی	ˌamibˈaːi
امیت	ˌʊmiˈat
امیتابھ	ˌamitˈaːbʰ
امیج	amˈiːɟ
امیجری	amˈiːɟrˌiː
امیجز	amˈiːɟəz
امیجنگ	amˈiːɟənɡ
امیجینیشن	ˌamiɟˌiːneːʃˈan
امید	ʊmˈiːd
امیدافزا	ʊmˈiːdaːfzaː
امیداورمحبت	ʊmˈiːdaːʋˌərəmˌəhəbˌət
امیدوار	ʊmˈiːdʋaːr
امیدواروں	ʊmˈiːdʋaːrˌõː
امیدوں	ʊmˈiːdõː
امیدگاہ	ʊmˈiːdɡaːh
امیدی	ʊmˈiːdi
امیدیں	ʊmˈiːdẽː
امیر	amˈiːr
امیرا	amˈiːraː
امیرالامرا	ˌamiraːlˈaːmrˌaː
امیرالبحر	ˌamirˈaːləbˌəhər
امیرالجیش	ˌamirˌaːlɟˈiːʃ
امیرالمومنین	ˌamirˌaːlmˌoːmnˈiːn
امیرانہ	ˌamirˈaːnˌa
امیرداد	amˈiːrdaːd
امیروں	amˈiːrõː
امیرہ	amˈiːrˌa
امیری	amˈiːri
امیریا	amˈiːrjaː
امیزون	ˌamizˈoːn
امیل	amˈiːl
امیلیہ	ˌamilˈiːa
امیم	amˈiːm
امیمہ	amˈiːmˌa
امین	amˈiːn
امینو	amˈiːnoː
امینہ	amˈiːnˌa
امینی	amˈiːni
امینیت	ˌaminiˈat
امینیتیں	ˌaminiˈatẽː
امیوں	ˈamiˌõː
امیٹھ	amˈiːʈʰ
امیٹھا	amˈiːʈʰaː
امیٹھائی	ˌamiʈʰˈaːi
امیٹھائیاں	ˌamiʈʰˈaːjãː
امیٹھتا	amˈiːʈʰtˌaː
امیٹھتی	amˈiːʈʰtˌiː
امیٹھتیں	amˈiːʈʰtˌẽː
امیٹھتے	amˈiːʈʰtˌeː
امیٹھنا	amˈiːʈʰnˌaː
امیٹھنی	amˈiːʈʰnˌiː
امیٹھنے	amˈiːʈʰnˌeː
امیٹھی	amˈiːʈʰi
امیٹھیں	amˈiːʈʰẽː
امیٹھیے	amˈiːʈʰjeː
امیٹھے	amˈiːʈʰeː
امیٹیشن	ˌamiʈeːʃˈan
امیٹیشنز	ˌamiʈeːʃˈanz
امیگریشن	ˌamiɡreːʃˈan
امیں	ˈamẽː
امیہ	amˈiːa
ان	ˈɪn
انا	ˈanaː
اناؤنس	ˌanaːˈoːns
اناؤنسر	ˌanaːˈoːnsər
اناؤنسمنٹ	ˌanaːˈoːnsəmˌənʈ
انائی	anˈaːi
انائیت	ˌanaːiˈat
انائیتیں	ˌanaːiˈatẽː
انائییت	ˌanaːˌiːiˈat
انابت	anˈaːbət
انابیب	ˌanaːbˈiːb
انابیت	ˌanaːbiˈat
اناتم	anˈaːtəm
اناتما	anˈaːtmˌaː
اناتھ	anˈaːtʰ
اناث	anˈaːs
اناثی	anˈaːsi
اناج	anˈaːɟ
اناجوں	anˈaːɟõː
اناجی	anˈaːɟi
اناجیل	ˌanaːɟˈiːl
اناد	anˈaːd
انادر	anˈaːdɪr
انادریں	anˈaːdrˌẽː
انادی	anˈaːdi
انار	anˈaːr
انارا	anˈaːraː
انارت	anˈaːrət
انارتیں	anˈaːrtˌẽː
اناردانہ	anˈaːrdaːna
اناروں	anˈaːrõː
انارکزم	anˈaːrəkˌəzəm
انارکسٹ	anˈaːrəkɪsʈ
انارکسٹس	ˌanaːrəkˈʌsʈs
انارکلی	anˈaːrəkli
انارکی	anˈaːrkˌiː
اناری	anˈaːri
اناریت	ˌanaːriˈat
انارین	ˌanaːrˈiːn
اناریہ	ˌanaːrˈiːa
اناریی	anˈaːrji
اناس	anˈaːs
اناسی	ʊnˈaːsi
اناسیواں	ˌʊnaːsˈiːʋãː
اناسیوں	ˌʊnaːsˈiːõː
اناسیویں	ˌʊnaːsˈiːʋẽː
اناطول	ˌanaːtˈoːl
انالوجی	ˌanaːlˈoːɟi
انام	anˈaːm
انامل	anˈaːməl
اناملہ	anˈaːməla
اناملی	anˈaːmlˌiː
اناملیاں	ˌanaːmˈʌljãː
انان	anˈaːn
انانہ	anˈaːnˌa
انانی	anˈaːni
انانیت	ˌanaːniˈat
انانیتی	ˌanaːniˈati
انانیتیاں	ˌanaːnˈiːtjãː
اناٹت	anˈaːʈət
اناٹمی	anˈaːʈmˌiː
اناٹمیز	ˌanaːʈmˈiːz
اناچت	anˈaːcət
اناڑی	anˈaːr.i
اناڑیوں	anˈaːr.iˌõː
اناکانڈا	ˌanaːkˈaːnɖaː
اناگت	anˈaːɡət
اناہید	ˌanaːhˈiːd
انب	ˈanb
انبار	ˈanbaːr
انباردار	anbˈaːrdaːr
انباروں	ˈanbaːrˌõː
انبارہ	ˈanbaːra
انباری	ˈanbaːrˌiː
انباز	ˈanbaːz
انبازی	ˈanbaːzˌiː
انباط	ˈanbaːt
انبالے	ˈanbaːlˌeː
انبان	ˈanbaːn
انبر	ˈanbər
انبری	ˈanbərˌiː
انبساط	ˌɪnbɪsˈaːt
انبساطی	ˌɪnbɪsˈaːti
انبساطیہ	ˌɪnbɪsaːtˈiːa
انبطاح	ˌɪnbɪtˈaːh
انبطاحی	ˌɪnbɪtˈaːhi
انبعاث	ˈanbaːs
انبعاثی	ˈanbaːsˌiː
انبلا	ˈɪnbɪlˌaː
انبلی	ˈanbəlˌiː
انبلیاں	ˈanbəljˌãː
انبوا	ˈanbʋaː
انبوہ	ˈamboːh
انبوہی	ˈanboːhˌiː
انبھو	ˈanbʰoː
انبہ	ˈanbəˌa
انبیا	ˈanbjaː
انبیاء	ˈanbjaː
انبیاؤ	ˈanbjaːˌoː
انبیاؤں	ˈanbjaːˌoːn
انبیائی	ˈanbjaːˌiː
انبیائے	ˈanbjaːˌeː
انبیق	ˈanbiq
انبیل	ˈanbil
انبیوں	ˈanbiˌõː
انت	ˈanət
انتا	ˈɪntaː
انتاج	ˌantˈaːɟ
انتاجا	ˌantˈaːɟaː
انتاجی	ˌantˈaːɟi
انتاش	ˌantˈaːʃ
انتالیس	ˌʊntaːlˈiːs
انتالیسواں	ˌʊntaːlˈiːsʋãː
انتالیسویں	ˌʊntaːlˈiːsʋẽː
انتبار	ˌɪntɪbˈaːr
انتباہ	ˌɪntɪbˈaːh
انتباہا	ˌɪntɪbˈaːhaː
انتج	ˈanətˌəɟ
انتخاب	ˌɪntɪxˈaːb
انتخابات	ˌɪntɪxˌaːbˈaːt
انتخابوں	ˌɪntɪxˈaːbõː
انتخابی	ˌɪntɪxˈaːbi
انتداب	ˌɪntɪdˈaːb
انتدابات	ˌɪntɪdˌaːbˈaːt
انتدابی	ˌɪntɪdˈaːbi
انتدابیت	ˌɪntɪdˌaːbiˈat
انتر	ˈantar
انترا	ˈɪntɪrˌaː
انترجامی	ˌanətˌərɟˈaːmi
انتردوار	ˌanətrdʋˈaːr
انتردیشیی	ˌanətrdˈiːʃji
انترمنتر	ˈanətˌərəmˌənətˌər
انترچکر	ˌanətˈʌrcəkˌər
انترچھال	ˌanətrcʰˈaːl
انتری	ˈanətri
انتزاع	ˈɪntɪzˌaː
انتزاعی	ˌɪntɪzaːˈaːi
انتزاعیات	ˌɪntɪzˌaːaːiˈaːt
انتساب	ˌɪntɪsˈaːb
انتسابات	ˌɪntɪsˌaːbˈaːt
انتسابوں	ˌɪntɪsˈaːbõː
انتسابی	ˌɪntɪsˈaːbi
انتسابیت	ˌɪntɪsˌaːbiˈat
انتساق	ˌɪntɪsˈaːq
انتساقات	ˌɪntɪsˌaːqˈaːt
انتساقی	ˌɪntɪsˈaːqi
انتساقیت	ˌɪntɪsˌaːqiˈat
انتسام	ˌɪntɪsˈaːm
انتسامات	ˌɪntɪsˌaːmˈaːt
انتسامی	ˌɪntɪsˈaːmi
انتسامیت	ˌɪntɪsˌaːmiˈat
انتشا	ˈɪntɪʃˌaː
انتشائی	ˌɪntɪʃˈaːi
انتشائیت	ˌɪntɪʃˌaːiˈat
انتشار	ˌɪntɪʃˈaːr
انتشارات	ˌɪntɪʃˌaːrˈaːt
انتشاروں	ˌɪntɪʃˈaːrõː
انتشاری	ˌɪntɪʃˈaːri
انتشاریہ	ˌɪntɪʃaːrˈiːa
انتصاب	ˌɪntɪʂˈaːb
انتصابات	ˌɪntɪʂˌaːbˈaːt
انتصابی	ˌɪntɪʂˈaːbi
انتصابیت	ˌɪntɪʂˌaːbiˈat
انتصار	ˌɪntɪʂˈaːr
انتصاف	ˌɪntɪʂˈaːf
انتصافات	ˌɪntɪʂˌaːfˈaːt
انتصافی	ˌɪntɪʂˈaːfi
انتصافیت	ˌɪntɪʂˌaːfiˈat
انتصاما	ˌɪntɪʂˈaːmaː
انتصر	ˈanətˌəʂər
انتطار	ˌɪntɪtˈaːr
انتظار	ˌɪntɪʐˈaːr
انتظارگاہ	ˌɪntɪʐˌaːrɡˈaːh
انتظاری	ˌɪntɪʐˈaːri
انتظام	ˌɪntɪʐˈaːm
انتظامات	ˌɪntɪʐˌaːmˈaːt
انتظامی	ˌɪntɪʐˈaːmi
انتظامیات	ˌɪntɪʐˌaːmiˈaːt
انتظامیہ	ˌɪntɪʐaːmˈiːa
انتعاش	ˌɪntɪˈaːʃ
انتعاشات	ˌɪntɪaːʃˈaːt
انتعاشی	ˌɪntɪˈaːʃi
انتعاشیت	ˌɪntɪˌaːʃiˈat
انتعاظ	ˌantˈaːʐ
انتعاظات	ˌantˌaːʐˈaːt
انتعاظی	ˌantˈaːʐi
انتعاظیت	ˌantˌaːʐiˈat
انتفا	ˈɪntɪfˌaː
انتفاء	ˈɪntɪfˌaː
انتفائی	ˌɪntɪfˈaːi
انتفائیت	ˌɪntɪfˌaːiˈat
انتفاخ	ˌɪntɪfˈaːx
انتفاخات	ˌɪntɪfˌaːxˈaːt
انتفاخی	ˌɪntɪfˈaːxi
انتفاخیت	ˌɪntɪfˌaːxiˈat
انتفاضہ	ˌɪntɪfˈaːzˌa
انتفاع	ˈɪntɪfˌaː
انتفاعات	ˌɪntɪfaːˈaːt
انتفاعی	ˌɪntɪfaːˈaːi
انتفاعیت	ˌɪntɪfˌaːiˈat
انتقا	ˈɪntɪqˌaː
انتقائی	ˌɪntɪqˈaːi
انتقائیت	ˌɪntɪqˌaːiˈat
انتقاد	ˌɪntɪqˈaːd
انتقادات	ˌɪntɪqˌaːdˈaːt
انتقادی	ˌɪntɪqˈaːdi
انتقادیت	ˌɪntɪqˌaːdiˈat
انتقاص	ˌɪntɪqˈaːʂ
انتقاصات	ˌɪntɪqˌaːʂˈaːt
انتقاصی	ˌɪntɪqˈaːʂi
انتقاصیت	ˌɪntɪqˌaːʂiˈat
انتقال	ˌɪntɪqˈaːl
انتقالات	ˌɪntɪqˌaːlˈaːt
انتقالی	ˌɪntɪqˈaːli
انتقالیہ	ˌɪntɪqaːlˈiːa
انتقام	ˌɪntɪqˈaːm
انتقاما	ˌɪntɪqˈaːmaː
انتقامات	ˌɪntɪqˌaːmˈaːt
انتقامی	ˌɪntɪqˈaːmi
انتقامیت	ˌɪntɪqˌaːmiˈat
انتقامیہ	ˌɪntɪqaːmˈiːa
انتم	ˈanətˌəm
انتما	ˈɪntɪmˌaː
انتماؤ	ˌɪntɪmˈaːoː
انتماؤں	ˌɪntɪmaːˈoːn
انتمائی	ˌɪntɪmˈaːi
انتمائیت	ˌɪntɪmˌaːiˈat
انتڑی	ˈanətr.i
انتڑیاں	ˌanətˈʌr.jãː
انتڑیوں	ˈanətr.iˌõː
انتکاس	ˌɪntɪkˈaːs
انتکاسات	ˌɪntɪkˌaːsˈaːt
انتکاسی	ˌɪntɪkˈaːsi
انتکاسیت	ˌɪntɪkˌaːsiˈat
انتھونی	ˌantʰˈoːni
انتھک	ˈanətʰˌək
انتہا	ˈɪntɪhˌaː
انتہاء	ˈɪntɪhˌaː
انتہاؤ	ˌɪntɪhˈaːoː
انتہاؤں	ˌɪntɪhaːˈoːn
انتہائ	ˈɪntɪhˌaː
انتہائی	ˌɪntɪhˈaːi
انتہائیت	ˌɪntɪhˌaːiˈat
انتہائیں	ˌɪntɪhˈaːẽː
انتہائیہ	ˌɪntɪhaːˈiːa
انتہاپسند	ˌɪntɪhˌaːpəsˈʌnd
انتہاپسندی	ˌɪntɪhˌaːpəsˈʌndi
انتہی	ˈanəthi
انتی	ˈɪnti
انتیار	ˌantjˈaːr
انتیس	ˌʊntˈiːs
انتیسواں	ˌʊntˈiːsʋãː
انتیسویں	ˌʊntˈiːsʋẽː
انتیہ	ˌantˈiːa
انتے	ˈɪnteː
انثی	ˈansˌiː
انثیت	ˌʊnsiˈat
انثیہ	ˌansˈiːa
انثیین	ˌansjˈiːn
انجاب	ˈanɟaːb
انجابات	ˈanɟaːbaːt
انجابی	ˈanɟaːbˌiː
انجاح	ˈanɟaːh
انجار	ˈanɟaːr
انجاز	ˈanɟaːz
انجازی	ˈanɟaːzˌiː
انجاس	ˈanɟaːs
انجام	ˈanɟaːm
انجاما	ˈanɟaːmˌaː
انجامی	ˈanɟaːmˌiː
انجان	ˈanɟaːn
انجانا	ˈanɟaːnˌaː
انجانی	ˈanɟaːnˌiː
انجانے	ˈanɟaːnˌeː
انجب	ˈanɟəb
انجبار	ˌɪnɟɪbˈaːr
انجباز	ˌɪnɟɪbˈaːz
انجبازی	ˌɪnɟɪbˈaːzi
انجبی	ˈanɟəbˌiː
انجدان	ˌɪnɟɪdˈaːn
انجذاب	ˌɪnɟɪzˈaːb
انجذابی	ˌɪnɟɪzˈaːbi
انجذابیت	ˌɪnɟɪzˌaːbiˈat
انجروت	ˈanɟərˌoːt
انجروتی	ˈanɟərˌoːti
انجری	ˈanɟərˌiː
انجریاں	ˈanɟərjˌãː
انجل	ˈanɟəl
انجلا	ˈɪnɟɪlˌaː
انجلی	ˈanɟəlˌiː
انجلینا	ˈanɟəlˌiːnaː
انجم	ˈanɟʊm
انجماد	ˌɪnɟɪmˈaːd
انجمادی	ˌɪnɟɪmˈaːdi
انجمن	ˈanɟʊmˌan
انجمنی	ˈanɟʊmnˌiː
انجمنیں	ˈanɟəmnẽː
انجن	ˈɪnɟɪn
انجنی	ˈanɟənˌiː
انجنیئر	ˌanɟəniˈar
انجو	ˈanɟoː
انجوؤ	ˈanɟuːˌoː
انجوؤں	ˈanɟuːˌoːn
انجوائے	ˈanɟʋaːˌeː
انجکشن	ˌɪnɟɪkʃˈan
انجھ	ˈanɟʰ
انجھا	ˈanɟʰaː
انجھاؤ	ˈanɟʰaːˌoː
انجھاؤں	ˈanɟʰaːˌoːn
انجھائی	ˈanɟʰaːˌiː
انجھائیاں	ˈanɟʰaːjˌãː
انجھائیت	ˈanɟʰaːˌiːat
انجھتا	ˈanɟʰətˌaː
انجھتی	ˈanɟʰətˌiː
انجھتیں	ˈanɟʰətˌĩː
انجھتے	ˈanɟʰətˌeː
انجھنا	ˈanɟʰənˌaː
انجھنی	ˈanɟʰənˌiː
انجھنے	ˈanɟʰənˌeː
انجھو	ˈanɟʰoː
انجھوؤ	ˈanɟʰuːˌoː
انجھوؤں	ˈanɟʰuːˌoːn
انجھی	ˈanɟʰi
انجھیں	ˈanɟʰẽː
انجھیے	ˈanɟʰjeː
انجھے	ˈanɟʰeː
انجیر	ɪnɟˈiːr
انجیرآدم	ˌɪnɟirˈaːdəm
انجیریا	ɪnɟˈiːrjaː
انجیریں	ɪnɟˈiːrẽː
انجیل	ɪnɟˈiːl
انجیلنا	ɪnɟˈiːlnˌaː
انجیلی	ɪnɟˈiːli
انجینئر	ˌɪnɟinɪˈar
انجینئرز	ˌɪnɟinˈʌrz
انجینئرنگ	ˌɪnɟinɪˈarɪnɡ
انجینیر	ˌɪnɟiniˈar
انجینیرز	ˌɪnɟiniˈarz
انجینیرنگ	ˌɪnɟiniˈarnɡ
انجینیروں	ˌɪnɟiniˈarõː
انجیکشن	ɪnɟˈeːkʃan
انحا	ˈanhˌaː
انحداب	ˌɪnhɪdˈaːb
انحدابی	ˌɪnhɪdˈaːbi
انحداد	ˌɪnhɪdˈaːd
انحدادی	ˌɪnhɪdˈaːdi
انحدار	ˌɪnhɪdˈaːr
انحداریں	ˌɪnhɪdˈaːrẽː
انحراف	ˌɪnhɪrˈaːf
انحرافی	ˌɪnhɪrˈaːfi
انحس	ˈanəhˌəs
انحصار	ˌɪnhɪʂˈaːr
انحصاری	ˌɪnhɪʂˈaːri
انحطاط	ˌɪnhɪtˈaːt
انحطاطی	ˌɪnhɪtˈaːti
انحفاض	ˌɪnhɪfˈaːz
انحلال	ˌɪnhɪlˈaːl
انحلالی	ˌɪnhɪlˈaːli
انحنا	ˌanˈahnaː
انحنائی	ˌɪnhɪnˈaːi
انحنائیت	ˌɪnhɪnˌaːiˈat
انخراج	ˌɪnxɪrˈaːɟ
انخراجی	ˌɪnxɪrˈaːɟi
انخراجیت	ˌɪnxɪrˌaːɟiˈat
انخساف	ˌɪnxɪsˈaːf
انخسافی	ˌɪnxɪsˈaːfi
انخفاض	ˌɪnxɪfˈaːz
انخفاضی	ˌɪnxɪfˈaːzi
انخفاف	ˌɪnxɪfˈaːf
انخفافی	ˌɪnxɪfˈaːfi
انخلا	ˈɪnxɪlˌaː
انخلاء	ˈɪnxɪlˌaː
انخلائی	ˌɪnxɪlˈaːi
انخلائیت	ˌɪnxɪlˌaːiˈat
اند	ˈand
انداخت	andˈaːxt
انداختہ	andˈaːxta
انداختی	ˈandaːxti
انداذہ	ˈandaːza
اندار	ˈandaːr
اندارا	ˈandaːrˌaː
انداری	ˈandaːrˌiː
انداریاں	andˈaːrjãː
انداز	ˈandaːz
اندازا	ˈandaːzˌaː
اندازمیں	ˈandaːzmẽː
اندازوں	ˈandaːzˌõː
اندازہ	ˈandaːza
اندازی	ˈandaːzˌiː
اندازے	ˈandaːzˌeː
اندام	ˈandaːm
اندامی	ˈandaːmˌiː
اندر	ˈandar
اندرا	ˈɪndɪrˌaː
اندراج	ˌɪndɪrˈaːɟ
اندراجات	ˌɪndɪrˌaːɟˈaːt
اندراجی	ˌɪndɪrˈaːɟi
اندراس	ˌɪndɪrˈaːs
اندراسی	ˌɪndɪrˈaːsi
اندراش	ˌɪndɪrˈaːʃ
اندرانی	ˌɪndɪrˈaːni
اندرتھا	ˈandərtʰaː
اندرجال	andˈarɟaːl
اندرجالی	andˈarɟaːlˌiː
اندرجو	andˈarɟoː
اندردخش	ˈandərdˌəxəʃ
اندرز	ˈandərz
اندرزانہ	ˈandərzaːna
اندرسا	ˈandərsaː
اندرسن	ˈandərˌəsən
اندرلوک	ˈandərloːk
اندرون	ˈandruːn
اندرونہ	ˈandruːnˌa
اندرونی	ˈandruːnˌiː
اندریاس	ˈandərjˌaːs
اندسٹری	ˌɪnɖˈasʈri
اندفاع	ˈɪndɪfˌaː
اندفاعا	ˌɪndɪfˈaːaː
اندفاعات	ˌɪndɪfaːˈaːt
اندفاعی	ˌɪndɪfaːˈaːi
اندلس	ˈandəlˌəs
اندلسی	ˈandəlsi
اندمال	ˌɪndɪmˈaːl
اندمالی	ˌɪndɪmˈaːli
اندن	ˈandən
اندو	ˈandoː
